status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
1255648057644867584,860252856829587457,2020-04-30T00:00:00Z,IMSS_SanLuis,"Asegura sus beneficios, registra a tu esposa e hijos a través de internet.
Para cuidarnos del #Coronavirus #COVID19 es importante que nos quedemos en casa. 
Haz tus trámites aquí: https://t.co/FfIVmpiwW4
#MéxicoUnido #SanaDistancia https://t.co/ZbqFergOZW",TweetDeck,,,,FALSE,FALSE,429,0,,,,1145,41,,2017-05-04T22:00:38Z,FALSE,es
1255648058483724288,42705538,2020-04-30T00:00:00Z,_ElFaro_,"#COVID19 | El Faro conversó con policías, un funcionario y un líder pandillero para explicar ¿quiénes están detrás de esas muertes? ¿Por qué ahora? ¿Por qué?
https://t.co/YawefZFpRw",TweetDeck,,,,FALSE,FALSE,3722,11,,,,513235,643,,2009-05-26T20:01:23Z,TRUE,es
1255648056764071940,154836286,2020-04-30T00:00:00Z,Cambio16,"Si ya era cuestionable la burocracia, lo es más ahora, ante las consecuencias que dejará la pandemia del #COVID19. Por esta razón, Ana Belén Vázquez estima que es necesario “meter mano” al gobierno y rebajar el número de ministerios.

https://t.co/RnWh7XYeho https://t.co/HiEf6uOzO1",TweetDeck,,,,FALSE,FALSE,20447,1,,,,17506,1874,,2010-06-12T09:48:50Z,FALSE,es
1255648056717897728,36100710,2020-04-30T00:00:00Z,GobCDMX,"Las medidas de higiene ayudan a reducir la probabilidad de contagio por #COVID19.

Es importante saber cómo separar los residuos, en especial, los inorgánicos no reciclables y sanitarios 😷💉

#QuédateEnCasaCDMX🏡 #SalvaVidas❤️ https://t.co/deWSCISwQE",Twitter Media Studio,,,,FALSE,FALSE,215,38,,,,2779321,215,,2009-04-28T15:55:16Z,TRUE,es
1255648058295169025,849376242637864960,2020-04-30T00:00:00Z,IMSSZac,"Cubre tu nariz y boca al estornudar con el ángulo interno del brazo con la técnica ""estornudo de etiqueta"".
#Coronavirus #COVID19 #PrevenciónCoronavirus

https://t.co/Vq2Y1ojien https://t.co/Cmjycd1T41",TweetDeck,,,,FALSE,FALSE,76,0,,,,962,208,,2017-04-04T21:40:51Z,FALSE,es
1255648059154812928,124262490,2020-04-30T00:00:00Z,SeattleHSD,"Attention Seattle shoppers! Grocery stores are working hard to keep their employees &amp; customers safe. Do your part to help slow the spread of #COVID19:
☑️ Limit your trips
☑️ Respect special shopping hours 
☑️ Follow social-distance guidance in stores
#WeGotThisSeattle https://t.co/MM9d4pUk4n",TweetDeck,,,,FALSE,FALSE,935,1,,,,1851,1027,,2010-03-18T20:27:44Z,FALSE,en
1255648057481261056,2548168922,2020-04-30T00:00:00Z,imssjalcontigo,"En tiempos de #COVID19, lo que sí ✅ y que no ❌

#MéxicoUnido #SanaDistancia #Coronavirus #QuédateEnCasa https://t.co/G5FbOTVOtl",TweetDeck,,,,FALSE,FALSE,1652,0,,,,4186,643,,2014-06-05T13:46:44Z,FALSE,es
1255648058932695041,788863557349670913,2020-04-30T00:00:00Z,Tabasco_IMSS,"#PrevenciónCoronavirus #Coronavirus #COVID19 ¿Sabías que un saludo como habitualmente lo hacemos de mano, beso o abrazo, es la principal vía de transmisión de los virus? 🤔 Te enseñamos otras formas para saludar : https://t.co/0qmUoU6mbv",TweetDeck,,,,FALSE,FALSE,725,0,,,,985,124,,2016-10-19T22:05:03Z,FALSE,es
1255648057296748546,44728980,2020-04-30T00:00:00Z,ANCALERTS,"Microsoft sees digital reboot from pandemic, profits up #COVID19 https://t.co/ruU6qomnfF",TweetDeck,,,,FALSE,FALSE,5448,1,,,,4927503,772,,2009-06-04T21:26:24Z,TRUE,en
1255648056801886208,357050985,2020-04-30T00:00:00Z,diario24horas,El presidente brasileño Jair Bolsonaro rechazó toda culpa por los decesos debido al #COVID19 y precisó que los responsables son gobernadores y alcaldes debido a las medidas restrictivas que han ordenado https://t.co/MF0QPQxzrW,TweetDeck,,,,FALSE,FALSE,1233,1,,,,358844,587,,2011-08-17T19:30:28Z,TRUE,es
1255648057670041600,171548670,2020-04-30T00:00:00Z,RadioNLNews,"Despite #COVID19 impacts, the Victoria Street West project in #Kamloops is still on track for a summer finish. https://t.co/3SQTXNdtR1 https://t.co/ah44siAMfX",TweetDeck,,,,FALSE,FALSE,507,0,,,,6949,2136,,2010-07-27T16:17:02Z,FALSE,en
1255648059742056449,2582629795,2020-04-30T00:00:00Z,Ojo_Publico,"#DatosCoronavirus Ante la llegada del #COVID19 a los territorios indígenas, OjoPúblico inicia la difusión de chequeos en lenguas originarias para reducir la brecha de acceso a información útil para enfrentar la pandemia y el aislamiento. https://t.co/5aQPnAKztB",TweetDeck,,,,FALSE,FALSE,3043,7,,,,76190,502,,2014-06-22T17:59:59Z,FALSE,es
1255648056587911169,314204596,2020-04-30T00:00:00Z,PueblaFMmx,"📻 #SET #PueblaRadio transmite la rueda de prensa del @GobiernoMX, sobre las nuevas cifras de #Covid19 en el país. 

⏰ De las 19:00 a las 20:00 horas, por el 105.9 de FM y a través de internet.  

📡 https://t.co/dkN4RgZajS https://t.co/hIXUEvWgoP",TweetDeck,,,,FALSE,FALSE,2063,2,,,,12343,2477,,2011-06-09T21:45:42Z,TRUE,es
1255648058496430087,357781334,2020-04-30T00:00:00Z,PueblaTVmx,"📣📰 #QueNoSeTePase la emisión de #FaseInformativa en esta mitad de semana. Entérate de las últimas cifras por #Covid19 en el país, proporcionadas por el @GobiernoMX. 

⏰ De 20:30 a 21:00 horas, por los canales 26.1 de TV abierta y el 126 de Megacable.

📺 #SET #PueblaTV https://t.co/zZx0vWUFgc",TweetDeck,,,,FALSE,FALSE,2352,1,,,,48023,3038,,2011-08-18T22:08:14Z,TRUE,es
